title,company_name,location,start_date,duration,stipend,ppo,work_mode,region,domain,skills,deadline,degree
Content Writing,HT Media,Mumbai,Immediately,4,3500,No,Remote,Rural,Research,"SQL, HTML/CSS, Machine Learning",20-11-25,PhD
Motion Design,NoBroker,Bangalore,Immediately,4,12000,Yes,Hybrid,Rural,HR,"Python, Project Management, C++, SQL, Java",12-10-25,MTech
Sales Trainee,Pioneer E-Solutions,Gurgaon,Immediately,4,10000,Yes,Remote,Rural,Data Analyst,"Digital Marketing, SQL, Java, HTML/CSS",05-12-25,MTech
Retail Management,Decathlon Sports India,Patna,Immediately,4,7000,No,Onsite,Urban,Research,"Java, Machine Learning, Project Management",01-11-25,BCA
Operation Analyst,Apollo247,Gurgaon,Immediately,4,15000,No,Remote,Rural,Design,"Machine Learning, SQL, Java, Python",12-11-25,BCA
Omni Sports Leadership,Decathlon Sport India Private Limited,Ludhiana,Immediately,4,10000,Yes,Remote,Rural,Design,"HTML/CSS, Python, Communication, Excel, Digital Marketing",30-11-25,MBA
HR Operations,UpGrad (U Education Management Private Limited),Gurgaon,Immediately,4,10000,No,Remote,Urban,Data Analyst,"Communication, Project Management, SQL, Digital Marketing",07-10-25,BSc
Human Resources (HR),Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6,5000,Yes,Hybrid,Rural,Marketing,"Communication, HTML/CSS, Machine Learning, SQL, C++",26-11-25,BSc
Omni Sports Leading,Decathlon Sport India Private Limited,Mumbai,Immediately,6,13000,Yes,Hybrid,Urban,Data Scientist,"Python, HTML/CSS, Excel, Project Management, Communication",25-10-25,MTech
IT Coordination,Vaibhav Global Limited,Jaipur,Immediately,6,10000,Yes,Remote,Urban,Data Analyst,"SQL, Java, Project Management",31-10-25,MTech
Admin,Worldwide Media (Times Group),Mumbai,Immediately,6,5000,No,Remote,Rural,Research,"HTML/CSS, Data Analysis, Excel, Python, SQL",23-11-25,MTech
Graphic Design,Priyanka Singh,Jaipur,Immediately,6,5000,Yes,Hybrid,Urban,Research,"Machine Learning, Excel, Java, Project Management, HTML/CSS",01-11-25,BTech
Software Development â€“ VÄgyojaka Tool,IIT Bombay,Work From Home,Immediately,6,3000,Yes,Hybrid,Urban,Finance,"SQL, Machine Learning, HTML/CSS, Project Management",07-12-25,MTech
Product Management,Tynor Orthotics Private Limited,Mohali,Immediately,6,7500,No,Onsite,Urban,Data Analyst,"HTML/CSS, Excel, Machine Learning, Communication, Data Analysis",18-09-25,BSc
Omni Sport Leader,Decathlon Sports India,Pimpri-Chinchwad,Immediately,6,10000,Yes,Onsite,Rural,Design,"Digital Marketing, Machine Learning, Excel, Data Analysis",14-10-25,BSc
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Nagpur,Immediately,6,2500,No,Remote,Urban,Finance,"Digital Marketing, Communication, Machine Learning, HTML/CSS",24-09-25,MBA
Graphic Design,Futurionic Private Limited,Work From Home,Immediately,6,5000,Yes,Hybrid,Rural,Design,"Digital Marketing, HTML/CSS, Java, Communication",02-12-25,BSc
Business Development (Sales),Cultfit Healthcare Private Limited,Bangalore,Immediately,6,20000,No,Remote,Urban,Research,"Digital Marketing, SQL, C++",02-12-25,MBA
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Remote,Rural,Design,"Communication, Digital Marketing, Project Management, Data Analysis",16-10-25,MTech
Youtube Management,Unacademy,Bangalore,Immediately,6,15000,No,Remote,Urban,Data Analyst,"SQL, Digital Marketing, Data Analysis, Communication, Machine Learning",20-11-25,MTech
Marketing,Absolute Barbecue Private Limited,Hyderabad,Immediately,6,6000,Yes,Onsite,Urban,Marketing,"Communication, Python, Data Analysis, C++, Project Management",02-10-25,BCA
Event Management,Office Of Advisor To CM,Delhi,Immediately,6,Unpaid,Yes,Onsite,Urban,Marketing,"Project Management, Machine Learning, C++, Excel, Data Analysis",31-10-25,BTech
Customer Service,Kalpataru Limited,Mumbai,Immediately,6,10000,Yes,Remote,Urban,HR,"Communication, HTML/CSS, Digital Marketing, C++, Machine Learning",26-09-25,BCA
Marketing,Motilal Oswal Financial Services Limited,Mumbai,Immediately,6,5000,No,Hybrid,Rural,Data Scientist,"Python, Communication, Digital Marketing",11-11-25,PhD
Public Relations,Across The Globe (ATG),Work From Home,Immediately,6,1500,No,Onsite,Urban,Finance,"SQL, HTML/CSS, Digital Marketing, Python, Communication",06-12-25,MCA
Talent Acquisition,MRCC Solutions,Thane,Immediately,6,10000,No,Remote,Rural,Software Development,"SQL, Python, Data Analysis",29-10-25,MTech
Human Resources (HR),Zucol Group Of Companies,Indore,Immediately,6,5000,Yes,Onsite,Rural,Design,"Digital Marketing, Project Management, Python, SQL, Excel",14-10-25,MTech
Sales (Real Estate),Anarock Property Consultant Private Limited,Pune,Immediately,6,10000,Yes,Onsite,Urban,Data Analyst,"C++, Excel, Project Management, Python",21-09-25,BSc
Customer Experience,Snapdeal,Gurgaon,Immediately,6,10000,Yes,Hybrid,Rural,HR,"SQL, Digital Marketing, HTML/CSS, Python, Excel",02-12-25,PhD
Insurance Consulting,Bajaj Allianz Life Insurance Company Limited,Work From Home,Immediately,6,12000,No,Onsite,Rural,Data Scientist,"SQL, HTML/CSS, Java, Machine Learning",19-11-25,PhD
Resource Management,Techolution,Hyderabad,Immediately,6,15000,Yes,Remote,Rural,Data Scientist,"Communication, C++, Excel, Data Analysis, Python",17-10-25,BCA
Curriculum Development,Educate Girls,Mumbai,Immediately,6,15000,Yes,Onsite,Urban,Design,"Python, Data Analysis, C++, Machine Learning, Digital Marketing",15-09-25,MCA
Digital Marketing,Audi Mumbai West,Mumbai,Immediately,6,15000,Yes,Onsite,Urban,Finance,"Communication, SQL, Digital Marketing",27-10-25,PhD
Social Work,INDIA Redefined,Work From Home,Immediately,6,Unpaid,No,Remote,Urban,Design,"Project Management, Java, C++",17-09-25,MCA
Lead HR (Admin),Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,No,Hybrid,Urban,Data Analyst,"Project Management, Digital Marketing, SQL, HTML/CSS, C++",17-10-25,BSc
HR,WWF India,Delhi,Immediately,6,5000,Yes,Onsite,Urban,Data Scientist,"Excel, Java, Python, Digital Marketing",04-10-25,BSc
Content Creation & Ideation,Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,Yes,Onsite,Urban,Design,"SQL, Machine Learning, Project Management, HTML/CSS",05-11-25,MBA
Operations,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Work From Home,Immediately,6,5000,Yes,Hybrid,Urban,Design,"Data Analysis, Java, HTML/CSS, Excel, Python",13-11-25,BSc
Technical Finance,Thomas Cook,Mumbai,Immediately,6,6000,Yes,Onsite,Rural,Data Scientist,"Project Management, Python, Communication",03-11-25,MTech
Campus Ambassador,Unacademy,Work From Home,Immediately,6,Performance Based,No,Remote,Urban,Software Development,"C++, Project Management, Excel",09-11-25,BTech
Media And Social Media Management,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,Yes,Remote,Rural,Software Development,"SQL, Java, Digital Marketing, Data Analysis",10-09-25,PhD
Digital Media Monitoring/Content Analytics,Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,Yes,Onsite,Urban,HR,"Data Analysis, Java, Project Management",18-10-25,BTech
Human Resources (HR),Alkegen India Private Limited,Pune,Immediately,6,3000,Yes,Remote,Rural,Design,"C++, Data Analysis, Communication, HTML/CSS, Machine Learning",10-10-25,MCA
Digital And Cartoon Artist,Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,Yes,Hybrid,Rural,Design,"Project Management, Java, C++, Machine Learning",12-10-25,BCA
Content Marketing,IIT Bombay,Work From Home,Immediately,6,1000,No,Remote,Urban,HR,"Java, SQL, Excel, Python",30-11-25,MTech
Social Media Research/Scouting,Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,Yes,Hybrid,Urban,Design,"Project Management, C++, Communication",26-09-25,PhD
Human Resources (HR),Ambit Private Limited,Mumbai,Immediately,6,20000,No,Onsite,Urban,HR,"C++, Digital Marketing, Communication, Machine Learning, Data Analysis",26-09-25,BTech
Business Development (Sales),MakeMyTrip,Gurgaon,Immediately,3,10000,Yes,Hybrid,Rural,Data Analyst,"Digital Marketing, Communication, Python",06-10-25,MTech
Video Making/Editing,Aam Aadmi Party,Work From Home,Immediately,3,Unpaid,No,Remote,Rural,Data Scientist,"Digital Marketing, SQL, Data Analysis",12-09-25,BTech
Social Work,INDIA Redefined,Work From Home,Immediately,3,Unpaid,Yes,Onsite,Urban,Marketing,"Python, Java, C++, Data Analysis, Communication",23-09-25,BSc
YouTube Marketing,Saregama India Limited,Chennai,Immediately,3,5000,Yes,Onsite,Rural,Finance,"Python, Data Analysis, C++, Java, Machine Learning",19-11-25,MCA
Marketing,Cuberoutes,Chennai,Immediately,3,12000,Yes,Hybrid,Urban,Software Development,"C++, Digital Marketing, SQL, Data Analysis, Communication",16-09-25,BCA
Marketing (Sunburn),BookMyShow,Mumbai,Immediately,3,7500,No,Hybrid,Urban,Data Analyst,"C++, Communication, Digital Marketing",03-11-25,BSc
Content Developement (DIY Videos),K4 Media & Technologies,Jaipur,Immediately,3,10000,Yes,Remote,Urban,Marketing,"Machine Learning, Python, Project Management, C++, Excel",18-09-25,MBA
US Sales Process (Female),Gigde Global Solutions Private Limited,Noida,Immediately,3,15000,Yes,Remote,Urban,Finance,"Data Analysis, Excel, SQL",11-11-25,PhD
Chartered Accountancy (CA),H S SABHARWAL & Co,Dehradun,Immediately,3,3000,Yes,Remote,Rural,Data Scientist,"Data Analysis, HTML/CSS, Machine Learning, Communication, Project Management",22-11-25,BTech
Content Writing (Education),K4 Media & Technologies,Jaipur,Immediately,3,10000,Yes,Hybrid,Rural,Data Scientist,"Communication, SQL, Python, Excel, Project Management",19-09-25,PhD
Computer Operations,K4 Media & Technologies,Jaipur,Immediately,3,10000,No,Remote,Urban,Software Development,"Java, Digital Marketing, C++, Machine Learning",06-12-25,MTech
Marketing,MAG Finserv,Pune,Immediately,3,10000,No,Hybrid,Urban,Finance,"Project Management, Digital Marketing, C++",27-11-25,BCA
Graphic Design,Trivy Technologies Private Limited,Work From Home,Immediately,3,2500,No,Hybrid,Urban,Research,"Data Analysis, Machine Learning, Project Management, Digital Marketing, SQL",26-10-25,MTech
Project Management,HappiMynd,Work From Home,Immediately,3,10000,No,Hybrid,Rural,HR,"Communication, Project Management, Machine Learning, Excel, Java",10-11-25,PhD
Creative Design,Soyu,Hyderabad,Immediately,3,5000,Yes,Remote,Rural,Data Scientist,"Java, Data Analysis, Excel, Project Management",07-12-25,BCA
Subject Matter Expert (Mathematics) - Doubt Solving,LearnAsYouGo Private Limited,Work From Home,Immediately,3,6000,Yes,Onsite,Urban,Marketing,"HTML/CSS, Data Analysis, Project Management, Machine Learning, Python",09-10-25,MTech
Content Writing (Art & Craft),K4 Media & Technologies,Work From Home,Immediately,3,1000,Yes,Hybrid,Urban,HR,"Python, HTML/CSS, Machine Learning, Excel",03-12-25,BTech
Content Writing (Fashion & Lifestyle),K4 Media & Technologies,Work From Home,Immediately,3,1000,Yes,Remote,Rural,HR,"HTML/CSS, Communication, Excel",19-11-25,MCA
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,3,10% of Revenue Generated,No,Hybrid,Rural,Software Development,"SQL, Digital Marketing, HTML/CSS, Machine Learning",14-09-25,MBA
Web Development,Celebrare,Work From Home,Immediately,3,6000,No,Remote,Urban,Finance,"Data Analysis, HTML/CSS, Excel, Python, C++",25-09-25,PhD
Web Content Development,Hex Wireless Private Limited,Work From Home,Immediately,3,12000,Yes,Hybrid,Urban,HR,"Digital Marketing, Communication, Excel, Machine Learning",18-11-25,BCA
Video Editing,K4 Media & Technologies,Jaipur,Immediately,3,10000,Yes,Hybrid,Rural,HR,"Excel, Machine Learning, Communication, Python",30-11-25,MTech
UI/UX Design,QuadB Tech,Ludhiana,Immediately,3,15000,Yes,Hybrid,Rural,Software Development,"Project Management, Data Analysis, Digital Marketing, Python",11-09-25,BTech
Digital Marketing,TopLine Vision,Bangalore,Immediately,3,5000,Yes,Remote,Urban,Data Analyst,"Data Analysis, Communication, Machine Learning, C++, Digital Marketing",30-09-25,PhD
Data Entry,K4 Media & Technologies,Jaipur,Immediately,3,10000,No,Remote,Urban,Data Analyst,"Communication, Java, Project Management, Excel, HTML/CSS",30-11-25,BTech
Business Development (Sales),Rentkar-Switch To Share,Mumbai,Immediately,3,12000,No,Onsite,Rural,Software Development,"Communication, Machine Learning, SQL",09-10-25,BTech
Brand Management,Born High Digital,Gurgaon,Immediately,3,10000,No,Onsite,Rural,HR,"Project Management, HTML/CSS, Digital Marketing, Data Analysis",27-10-25,MCA
HR And Market Research,Stellar Search,Gurgaon,Immediately,3,15000,Yes,Remote,Rural,Marketing,"Data Analysis, HTML/CSS, Excel",11-09-25,MTech
Civil Engineering,Pro India,Work From Home,Immediately,3,1000,No,Onsite,Rural,HR,"Data Analysis, Python, C++, SQL, Java",26-09-25,MTech
Architecture,Digipplus,Work From Home,Immediately,3,25000,Yes,Hybrid,Urban,Research,"Machine Learning, Java, Excel, Data Analysis, Communication",10-11-25,MCA
Business Development Management,Trivy Technologies Private Limited,Work From Home,Immediately,3,1500,Yes,Remote,Urban,Research,"Project Management, Excel, Machine Learning",02-10-25,MCA
Digital Marketing (Meme & Carousel Making),Lawtech,Work From Home,Immediately,3,6000,Yes,Hybrid,Urban,Research,"Java, Data Analysis, Project Management, Machine Learning",16-09-25,BSc
UI/UX Design,Radhika Kapoor,Work From Home,Immediately,3,5000,No,Remote,Rural,HR,"Data Analysis, Communication, HTML/CSS, Project Management",30-10-25,PhD
Graphic Design,AnthroFit Lifesciences Co,Work From Home,Immediately,3,4000,Yes,Onsite,Urban,Data Scientist,"Project Management, Excel, Communication, SQL, Digital Marketing",07-12-25,MCA
General Management,Adore Earth,Work From Home,Immediately,3,4000,No,Remote,Rural,Design,"SQL, Excel, Machine Learning",30-11-25,BTech
Legal Content Curation,Lawtech,Work From Home,Immediately,3,6000,Yes,Remote,Urban,Data Scientist,"Communication, Excel, Data Analysis, HTML/CSS, SQL",17-10-25,PhD
Talent Acquisition,TopHire,Work From Home,Immediately,3,5000,No,Onsite,Rural,Data Analyst,"SQL, Excel, Data Analysis",13-11-25,BSc
English Content Curation (IELTS),Lawtech,Work From Home,Immediately,3,8000,No,Remote,Rural,Data Analyst,"C++, Machine Learning, HTML/CSS",27-11-25,BCA
Field And Digital Marketing,Mehta Poly Boards,Mumbai,Immediately,3,9000,Yes,Hybrid,Urban,Software Development,"Project Management, Data Analysis, SQL, Communication, HTML/CSS",13-11-25,BTech
Content Marketing,Ciera Advisors LLP,Mumbai,Immediately,3,10000,Yes,Onsite,Rural,Finance,"SQL, Python, Digital Marketing, Data Analysis, Excel",14-11-25,PhD
Digital Marketing,Mars Elevator,Gurgaon,Immediately,3,15000,Yes,Hybrid,Urban,Software Development,"Python, Machine Learning, C++",21-11-25,PhD
Field Sales,Aadiananta Enterprises PVT Ltd,Delhi,Immediately,3,10000,No,Hybrid,Urban,Research,"Python, Digital Marketing, HTML/CSS, Java",21-11-25,MBA
Human Resources (HR),Everstylish Lifestyle Private Limited,Gurgaon,Immediately,3,15000,Yes,Remote,Urban,Finance,"HTML/CSS, Machine Learning, Excel, Digital Marketing",26-09-25,BCA
Accounts And Audit,IRA Consulting,Mumbai,Immediately,3,7500,Yes,Remote,Urban,Finance,"SQL, Excel, Communication, Machine Learning, Python",29-10-25,BTech
YouTube SEO,"Manjita Osta (Melbourne Airport, Australia)",Work From Home,Immediately,3,10000,Yes,Onsite,Rural,Data Analyst,"HTML/CSS, SQL, C++, Java, Machine Learning",28-11-25,MCA
Quality Analytics,Organikness Pvt. Ltd.,Hyderabad,Immediately,3,7000,Yes,Hybrid,Rural,Software Development,"HTML/CSS, Communication, Project Management, Python",29-11-25,MTech
Human Resources (HR),Six Ladders,Mumbai,Immediately,3,10000,No,Remote,Urban,Design,"Digital Marketing, Java, SQL, Python",31-10-25,PhD
Growth Hacking,Hotnot,Mumbai,Immediately,3,2000,No,Remote,Urban,Research,"Project Management, SQL, Excel",07-11-25,MBA
Human Resources (HR),AICS Consultancy Service Private Limited,Noida,Immediately,3,5000,No,Hybrid,Urban,Finance,"Digital Marketing, C++, Java",11-09-25,MCA
Purchase Management,PatilKaki,Navi Mumbai,Immediately,3,8000,No,Onsite,Rural,Software Development,"Project Management, Machine Learning, Excel",22-09-25,BSc
Telecalling & Administration,Safe2Go Digisolutions Private Limited,Jaipur,Immediately,3,6000,Yes,Hybrid,Rural,Software Development,"Data Analysis, Python, Digital Marketing, HTML/CSS",06-12-25,MBA
Furniture/Product Design,The Wood Shaping Company,Jaipur,Immediately,3,5000,No,Remote,Urban,Data Analyst,"Communication, Excel, C++, Data Analysis, Java",14-11-25,BTech
Inside Sales,RankItRight Media,Bangalore,Immediately,3,20000,No,Remote,Rural,Research,"Project Management, HTML/CSS, Data Analysis, Java, Machine Learning",04-12-25,MCA
Business Development (Sales),Avataryug,Mumbai,Immediately,3,10000,Yes,Onsite,Rural,Data Scientist,"SQL, Machine Learning, Communication, Data Analysis",17-10-25,PhD
Video Making/Editing,Stax Media,Delhi,Immediately,3,10000,No,Hybrid,Urban,Marketing,"Communication, HTML/CSS, Excel, Digital Marketing",14-11-25,BTech
Growth (Marketing),Amigobulls,Bangalore,Immediately,3,8000,Yes,Onsite,Rural,Software Development,"Digital Marketing, Machine Learning, HTML/CSS, Java, Data Analysis",18-11-25,BCA
Corporate Sales,Blue Rose Publishers,Delhi,Immediately,3,22000,Yes,Hybrid,Rural,HR,"Data Analysis, Excel, C++, HTML/CSS",07-11-25,MCA
Travel Research And Data Entry,Yuyiii Stays And Travels Private Limited,Bangalore,Immediately,3,6000,No,Hybrid,Rural,Research,"Data Analysis, Java, Project Management, Digital Marketing",01-10-25,PhD
Marketing,DBG TECH SOLUTIONS,Mumbai,Immediately,3,8000,No,Remote,Urban,Software Development,"Excel, Python, Project Management, Digital Marketing",30-11-25,BCA
Sales executive,Ilahi Travels Experiences Pvt. Ltd.,Delhi,Immediately,3,10000,Yes,Hybrid,Rural,Finance,"HTML/CSS, Machine Learning, Excel, Project Management, Data Analysis",04-11-25,MCA
Teaching (Python/Java/C++/Kotlin/Go/Javascript/Swift/Scala/Ruby),SR University,Warangal,Not specified,3,20000,Yes,Onsite,Urban,Marketing,"Data Analysis, Excel, Machine Learning, C++, SQL",25-09-25,MBA
Coordination,National Centre For The Performing Arts,Mumbai,Immediately,3,17000,Yes,Remote,Rural,Design,"Data Analysis, C++, Machine Learning, Excel",18-09-25,MBA
